"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PPM1E",940.564388789823,-0.718470553272602,0.181719257430049,-3.95373920977622,7.69392681353845e-05,0.000722257816266149
"BDNF",232.570156688186,-1.2006240385831,0.218172546137203,-5.50309404111762,3.73183228384398e-08,3.30731732159609e-06
"BOK",3049.22755869016,0.793477414275436,0.286319763274557,2.77129809413315,0.00558332866826188,0.0193876244001232
"HCLS1",493.738651310834,1.04843864189465,0.246614626641786,4.25132384145865,2.12510625279352e-05,0.000275971483653742
"SERHL2",198.402067525419,0.854873729390228,0.206996671912139,4.12989117889337,3.62934982494094e-05,0.000414104428528337
"KRT5",65.3140582658783,-1.26657117906159,0.313865588514574,-4.0353935742235,5.45108443982306e-05,0.000557247629199049
"COX8C",3.03184451284773,1.0041935159458,0.377301792945302,2.66151270606706,0.00777904048688961,0.0251049800968838
"CLN3",4.60399099355825,1.16099795991819,0.30369084458444,3.8229600286662,0.000131859161339917,0.00108778798258876
"GIMAP5",331.431334182794,0.682439782441361,0.169405106834946,4.02844870022882,5.61461086124216e-05,0.000573424485560447
"CASP4",166.305447823287,1.18676358513241,0.220745647802337,5.3761584744587,7.60918245574258e-08,5.09740786170344e-06
"KANK2",943.619504838207,0.899290792297562,0.177173919119763,5.07575153705143,3.85967381466226e-07,1.56061634148532e-05
"TGM2",2553.68377601003,0.726842632131284,0.2859854655139,2.54153696526216,0.0110366275125574,0.0330307778332405
"PLIN5",406.813738334967,0.818262769226048,0.190763258019539,4.28941494143614,1.79144404727034e-05,0.00024299261166612
"SIAH3",155.396209760177,-0.720164465068893,0.184925648432274,-3.89434603135996,9.84640094425279e-05,0.000876567870859208
"MRPS6",1193.63262240359,0.949082639442345,0.154333307882936,6.14956455259963,7.76959598209771e-10,2.13545870328212e-07
"MT3",17372.698985878,0.630581161204328,0.146868430993356,4.2935105722812,1.7586993594024e-05,0.000239715249156963
"ABCD2",422.833389486327,-0.639120235372343,0.184786426986856,-3.45869686315113,0.0005427954374917,0.00318320085895928
"ACSL5",508.345119797481,0.698278756507063,0.21095391667661,3.31010093345418,0.000932623343368843,0.00478159401524621
"ACSM1",15.2114000622551,0.994984345029964,0.234976806778523,4.2343938479332,2.29169003423732e-05,0.000292944939812884
"BCAT1",979.679952273083,-0.650807586559143,0.145149375552712,-4.48370917257441,7.33566251870005e-06,0.000128244154805583
"BCAT2",957.801366752983,0.686135120110207,0.129871753022391,5.28317439429581,1.2696442262399e-07,7.0325982358028e-06
"CLIC1",570.314553360528,0.91167293998206,0.225850505549445,4.03662120553663,5.42265162874699e-05,0.000556550841726511
"COX6B2",9.26421856576326,1.06902428154529,0.313815194974629,3.40654085163633,0.000657917037738961,0.00366197196627174
"COX8C.1",3.03184451284773,1.0041935159458,0.377301792945302,2.66151270606706,0.00777904048688961,0.0251049800968838
"CPT1B",185.910839076058,0.816989147899943,0.159610724625541,5.11863566697453,3.07753819428476e-07,1.32321954084168e-05
"DDAH2",933.193299059346,0.658378853947989,0.132681811768127,4.96208821069285,6.97393081230632e-07,2.38464503508043e-05
