"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP1L1",3.03801186887331,-1.20361191335681,0.462891835255985,-2.60020121696723,0.00931691122934703,0.0456046881822114
"RPEL1",2.22625112311747,-1.8257850292372,0.574757023552912,-3.17662064910655,0.00149001798034219,0.0120973867173457
"RPP38-DT",36.9535612996488,0.639844993315424,0.155712424736414,4.1091453967051,3.97125997400869e-05,0.000816172473039136
"RPRML",318.022710956614,-0.808833916160874,0.210629934722446,-3.84007105745297,0.000122998704292382,0.0018838190773836
"RPS15A",3327.80412865163,0.605061701805771,0.115253246805193,5.24984517640945,1.52227099238192e-07,1.04961524598185e-05
"RPS6KL1",1756.49145460678,-0.607815847401753,0.10759977663595,-5.64885789176144,1.61517301622351e-08,1.7431384146103e-06
"RSPO4",71.2355712895618,-0.926456643993667,0.207604785333884,-4.46259773108639,8.09719774011022e-06,0.000242807244985319
"RUNX1",142.980159175358,0.971883636689176,0.271793063707579,3.57582207371863,0.000349129053997054,0.00413988485472091
"S100A10",444.474401244874,1.29321680260659,0.253697504330571,5.09747546007197,3.44213020160665e-07,2.01687229844369e-05
"S100A11",358.583987057667,1.08464617101193,0.274595141801937,3.94998310565257,7.81567096006134e-05,0.00135455461014562
"S100A12",25.4839812027045,3.56242333757917,0.633512373927897,5.62328927451167,1.87355272866523e-08,1.98365724921239e-06
"S100A4",115.160999016678,1.92385724256962,0.310196131799992,6.20206716120522,5.57262852979158e-10,1.05502136741986e-07
"S100A7",5.93629339108944,1.26024656360101,0.33680998345101,3.74171380161693,0.000182769591197308,0.00256797023103639
"S100A8",208.113213833699,2.28369601055373,0.503150724386296,4.53879106174239,5.65776612726561e-06,0.000184248535398125
"S100A9",340.931975338918,2.27715112765754,0.504840603388139,4.51063387606877,6.46341942629341e-06,0.000203370126737176
"S100B",7186.6341907304,-0.725761720975442,0.190982140860272,-3.80015491347135,0.000144605661445471,0.0021408154252431
"S100P",8.25198989480947,1.06640668832817,0.326139510082913,3.26978687144363,0.00107628543006141,0.00958318712936304
"S1PR3",327.744530591058,0.792091473659065,0.216900300369429,3.65186895688922,0.000260338729258847,0.00333484358465748
"S1PR4",15.6276865382185,0.735679883770857,0.237564179699579,3.09676267146499,0.00195646441366709,0.0147710087871993
"S1PR5",631.760413832062,-0.930231458460873,0.350787245940744,-2.65183945318813,0.00800545971906653,0.0407477717302224
"SAMD11",98.5224292255733,1.05431540143304,0.318315472863264,3.31217138755278,0.000925748132438724,0.00859211187315376
"SAMD9",75.4422750042957,0.707785971587682,0.154560534419139,4.57934474830618,4.6643485385975e-06,0.000156694054665065
"SAMSN1",85.754156625272,1.08517179516709,0.226408581632408,4.79297996278671,1.64322042272206e-06,6.90029027135541e-05
"SCARA5",145.540999157755,3.01529303260373,0.407806703809224,7.39392708466685,1.42554604746534e-13,6.6347288959116e-11
"SCD",25175.9531820885,-0.902226229345202,0.223103606535265,-4.04397868486536,5.25516990328035e-05,0.00100256614551053
"SCEL",12.7418601175012,0.981116751742548,0.231865575566093,4.23140325745717,2.3223787858183e-05,0.000536524737075294
"SCGN",40.8689832966152,1.03185254593702,0.210371775603611,4.90490011303259,9.34748952059543e-07,4.50049387694185e-05
"SCIN",190.139625791079,1.14667182754998,0.420241648559857,2.72860110719525,0.0063603588886988,0.034597131135508
"SCN1B",5307.06416028421,-0.63832713441368,0.14821878680293,-4.30665469730497,1.65742030950879e-05,0.000415468807481252
"SCNN1A",8.7901459399935,1.98077664338977,0.421921869781232,4.69465269581028,2.67060062162757e-06,0.000100730557534685
"SCRT2",102.176944138671,-0.937361423227701,0.258298299943298,-3.62898797024011,0.000284534498099842,0.00357106780199465
"SCTR",12.8229603415969,-0.73422170544256,0.250832071676951,-2.92714444581939,0.00342089959705645,0.0221837146584154
"SDC2",1705.18874302814,0.761900368206156,0.178440385864627,4.26977539033213,1.95669916037888e-05,0.000470534545133091
"SDSL",161.551333850979,-0.652523571752111,0.1543582757853,-4.22733130719675,2.36479344504896e-05,0.000544072971806321
"SEC14L3",1.49261439681181,-2.12624139140029,0.757371667620159,-2.80739494531324,0.00499439672907814,0.0291698883470865
"SEC14L5",2766.45882183171,-0.637209836725886,0.156726913476323,-4.06573333572443,4.78816604233799e-05,0.000931773775137898
"SECTM1",29.6105143471944,0.828735667416138,0.29663492207468,2.79378996114119,0.00520943023713184,0.030104325223706
"SEMA3B",3920.17784032296,-0.892347255473976,0.27486270307537,-3.24651997338935,0.00116825250255499,0.0101481170582664
"SEMA3C",649.768212933433,0.800511975644116,0.205701518673356,3.89161918106833,9.95774543500146e-05,0.00163210589154756
"SEMA3D",161.926168692666,0.763893567734025,0.233578434609765,3.27039424256031,0.00107397691919533,0.00957026101907609
"SEMA3E",212.900128666897,-1.20733973193255,0.289699011455303,-4.16756593634021,3.07869473856376e-05,0.000671005272775751
"SEMA4D",4490.82550863168,-0.711460955085337,0.225961975544669,-3.14858707253908,0.0016406183898381,0.0129373155061712
